date,open,high,low,close,volume,ticker,source
2012-02-15,18.36643,18.79607,17.74607,17.77393,1506120000.0,AAPL,twelvedata
2012-02-16,17.55357,18.031786,17.37964,17.93607,944552000.0,AAPL,twelvedata
2012-02-17,17.96821,18.13464,17.86786,17.93286,535805200.0,AAPL,twelvedata
2012-02-21,18.10286,18.3875,18.0042858,18.3875,605595200.0,AAPL,twelvedata
2012-02-22,18.32429,18.41036,18.18107,18.32286,483302400.0,AAPL,twelvedata
2012-02-23,18.39571,18.49393,18.19643,18.4425,568027600.0,AAPL,twelvedata
2012-02-24,18.55964,18.675,18.52286,18.6575,415072000.0,AAPL,twelvedata
2012-02-27,18.61821,18.875,18.43857,18.77714,547582000.0,AAPL,twelvedata
2012-02-28,18.85571,19.12179,18.78036,19.12179,600387200.0,AAPL,twelvedata
2012-02-29,19.34143,19.5575,19.13214,19.37286,952011200.0,AAPL,twelvedata
2012-03-01,19.5775,19.57893,19.24179,19.44536,683270000.0,AAPL,twelvedata
2012-03-02,19.43714,19.52857,19.37571,19.47071,431712400.0,AAPL,twelvedata
2012-03-05,19.47929,19.55286,18.78571,19.04143,809124400.0,AAPL,twelvedata
2012-03-06,18.70214,19.060356,18.43643,18.93786,810238800.0,AAPL,twelvedata
2012-03-07,19.17143,19.20643,18.68929,18.95321,798520800.0,AAPL,twelvedata
2012-03-08,19.096071,19.3925,19.0042858,19.35679,516457200.0,AAPL,twelvedata
2012-03-09,19.43607,19.56214,19.39679,19.47036,418919200.0,AAPL,twelvedata
2012-03-12,19.60643,19.71429,19.53571,19.71429,407282400.0,AAPL,twelvedata
2012-03-13,19.91214,20.29214,19.84821,20.28929,690855200.0,AAPL,twelvedata
2012-03-14,20.64464,21.24,20.55,21.056429,1418844000.0,AAPL,twelvedata
2012-03-15,21.41464,21.42893,20.6625,20.91286,1159718000.0,AAPL,twelvedata
2012-03-16,20.88286,21.042856,20.64286,20.91321,825487600.0,AAPL,twelvedata
2012-03-19,21.37036,21.49179,21.0375,21.46786,901236000.0,AAPL,twelvedata
